# Date Transact. No. Buyer Seller Qty. Rate Amount
1 2024/03/13 2024031301035032 18 45 49 1,657.00 81,193.00
2 2024/03/13 2024031301034775 18 21 20 1,657.00 33,140.00
3 2024/03/13 2024031301034686 18 45 11 1,657.00 18,227.00
4 2024/03/13 2024031301034685 18 22 20 1,657.00 33,140.00
5 2024/03/13 2024031301034525 14 74 10 1,657.00 16,570.00
6 2024/03/13 2024031301034504 14 34 10 1,657.00 16,570.00
7 2024/03/13 2024031301031168 63 41 15 1,650.00 24,750.00
8 2024/03/13 2024031301031163 29 43 10 1,651.00 16,510.00
9 2024/03/13 2024031301031049 58 74 25 1,649.90 41,247.50
10 2024/03/13 2024031301031048 14 74 320 1,650.00 528,000.00
11 2024/03/13 2024031301031424 63 53 50 1,655.00 82,750.00
12 2024/03/13 2024031301031364 35 35 30 1,650.00 49,500.00
13 2024/03/13 2024031301031255 35 41 76 1,650.00 125,400.00
14 2024/03/13 2024031301031244 34 41 21 1,650.00 34,650.00
15 2024/03/13 2024031301031243 34 41 25 1,649.90 41,247.50
16 2024/03/13 2024031301031169 6 41 38 1,650.00 62,700.00
17 2024/03/13 2024031301031752 93 57 20 1,655.00 33,100.00
18 2024/03/13 2024031301031751 93 53 20 1,655.00 33,100.00
19 2024/03/13 2024031301031732 41 53 10 1,655.00 16,550.00
20 2024/03/13 2024031301031719 53 35 68 1,652.00 112,336.00
21 2024/03/13 2024031301031620 42 38 2 1,655.00 3,310.00
22 2024/03/13 2024031301031480 17 53 20 1,655.00 33,100.00
23 2024/03/13 2024031301031888 32 53 70 1,656.00 115,920.00
24 2024/03/13 2024031301031887 32 53 30 1,656.00 49,680.00
25 2024/03/13 2024031301031866 58 53 10 1,656.00 16,560.00
26 2024/03/13 2024031301031835 34 53 30 1,656.00 49,680.00
27 2024/03/13 2024031301031834 6 53 30 1,656.00 49,680.00
28 2024/03/13 2024031301031753 93 42 50 1,655.00 82,750.00
29 2024/03/13 2024031301032176 93 42 36 1,658.00 59,688.00
30 2024/03/13 2024031301032169 38 42 14 1,658.00 23,212.00
31 2024/03/13 2024031301032156 44 58 40 1,656.00 66,240.00
32 2024/03/13 2024031301032077 44 46 100 1,656.00 165,600.00
33 2024/03/13 2024031301032076 44 53 30 1,656.00 49,680.00
34 2024/03/13 2024031301031960 56 43 7 1,630.00 11,410.00
35 2024/03/13 2024031301032347 45 51 100 1,656.00 165,600.00
36 2024/03/13 2024031301032346 6 51 11 1,656.00 18,216.00
37 2024/03/13 2024031301032180 93 88 130 1,659.90 215,787.00
38 2024/03/13 2024031301032179 93 21 10 1,659.80 16,598.00
39 2024/03/13 2024031301032178 93 13 10 1,659.00 16,590.00
40 2024/03/13 2024031301032177 93 55 14 1,658.00 23,212.00
41 2024/03/13 2024031301032445 45 49 21 1,658.00 34,818.00
42 2024/03/13 2024031301032423 93 88 160 1,659.90 265,584.00
43 2024/03/13 2024031301032422 93 55 50 1,659.00 82,950.00
44 2024/03/13 2024031301032376 45 38 49 1,658.00 81,242.00
45 2024/03/13 2024031301032362 45 54 30 1,658.00 49,740.00
46 2024/03/13 2024031301032348 58 51 10 1,656.00 16,560.00
47 2024/03/13 2024031301032887 63 6 30 1,655.00 49,650.00
48 2024/03/13 2024031301032863 63 14 30 1,655.00 49,650.00
49 2024/03/13 2024031301032791 58 58 15 1,656.00 24,840.00
50 2024/03/13 2024031301032790 44 58 10 1,656.00 16,560.00
51 2024/03/13 2024031301032627 57 53 50 1,659.00 82,950.00
52 2024/03/13 2024031301032446 16 49 29 1,658.00 48,082.00
53 2024/03/13 2024031301033235 52 84 10 1,655.00 16,550.00
54 2024/03/13 2024031301033234 35 84 100 1,655.00 165,500.00
55 2024/03/13 2024031301033233 49 84 90 1,655.00 148,950.00
56 2024/03/13 2024031301033191 49 4 10 1,655.00 16,550.00
57 2024/03/13 2024031301033178 63 38 10 1,655.00 16,550.00
58 2024/03/13 2024031301033176 63 45 25 1,655.00 41,375.00
59 2024/03/13 2024031301033422 33 38 5 1,658.00 8,290.00
60 2024/03/13 2024031301033421 11 38 45 1,658.00 74,610.00
61 2024/03/13 2024031301033416 11 34 10 1,658.00 16,580.00
62 2024/03/13 2024031301033415 11 42 10 1,658.00 16,580.00
63 2024/03/13 2024031301033414 11 53 10 1,658.00 16,580.00
64 2024/03/13 2024031301033413 11 56 25 1,658.00 41,450.00
65 2024/03/13 2024031301033599 49 42 15 1,657.00 24,855.00
66 2024/03/13 2024031301033598 34 42 10 1,657.00 16,570.00
67 2024/03/13 2024031301033547 34 45 100 1,657.00 165,700.00
68 2024/03/13 2024031301033534 34 58 25 1,657.00 41,425.00
69 2024/03/13 2024031301033480 34 33 10 1,657.00 16,570.00
70 2024/03/13 2024031301033426 34 50 55 1,657.00 91,135.00
71 2024/03/13 2024031301033790 19 42 10 1,657.00 16,570.00
72 2024/03/13 2024031301033772 19 34 40 1,657.00 66,280.00
73 2024/03/13 2024031301033771 58 34 10 1,658.00 16,580.00
74 2024/03/13 2024031301033660 11 25 10 1,658.00 16,580.00
75 2024/03/13 2024031301033659 11 22 10 1,657.00 16,570.00
76 2024/03/13 2024031301033612 49 22 15 1,657.00 24,855.00
77 2024/03/13 2024031301034038 11 45 20 1,658.90 33,178.00
78 2024/03/13 2024031301034037 11 7 10 1,658.90 16,589.00
79 2024/03/13 2024031301034036 11 52 10 1,658.00 16,580.00
80 2024/03/13 2024031301034035 11 14 10 1,658.00 16,580.00
81 2024/03/13 2024031301033888 41 29 106 1,657.00 175,642.00
82 2024/03/13 2024031301033862 41 45 10 1,657.00 16,570.00
83 2024/03/13 2024031301034147 59 46 10 1,659.00 16,590.00
84 2024/03/13 2024031301034146 59 42 40 1,659.00 66,360.00
85 2024/03/13 2024031301034145 59 54 15 1,659.00 24,885.00
86 2024/03/13 2024031301034144 59 41 20 1,658.00 33,160.00
87 2024/03/13 2024031301034040 41 58 20 1,657.00 33,140.00
88 2024/03/13 2024031301034039 11 53 50 1,659.00 82,950.00
89 2024/03/13 2024031301034338 49 56 100 1,657.00 165,700.00
90 2024/03/13 2024031301034337 41 56 100 1,657.00 165,700.00
91 2024/03/13 2024031301034336 41 56 32 1,657.00 53,024.00
92 2024/03/13 2024031301034308 52 80 10 1,658.00 16,580.00
93 2024/03/13 2024031301034252 58 80 20 1,658.00 33,160.00
94 2024/03/13 2024031301034148 59 17 95 1,659.00 157,605.00
95 2024/03/13 2024031301034488 58 80 10 1,658.00 16,580.00
96 2024/03/13 2024031301034343 42 56 22 1,655.00 36,410.00
97 2024/03/13 2024031301034342 52 56 70 1,655.00 115,850.00
98 2024/03/13 2024031301034341 52 56 20 1,656.00 33,120.00
99 2024/03/13 2024031301034340 57 56 35 1,657.00 57,995.00
100 2024/03/13 2024031301034339 6 56 21 1,657.00 34,797.00
101 2024/03/13 2024031301031026 14 55 10 1,650.00 16,500.00
102 2024/03/13 2024031301031025 14 45 10 1,650.00 16,500.00
103 2024/03/13 2024031301031024 14 49 60 1,650.00 99,000.00
104 2024/03/13 2024031301031023 14 59 100 1,650.00 165,000.00
105 2024/03/13 2024031301030978 17 59 50 1,650.00 82,500.00
106 2024/03/13 2024031301030977 17 6 50 1,650.00 82,500.00
107 2024/03/13 2024031301027841 19 53 10 1,645.00 16,450.00
108 2024/03/13 2024031301027840 3 53 50 1,646.00 82,300.00
109 2024/03/13 2024031301027839 41 53 21 1,647.00 34,587.00
110 2024/03/13 2024031301027838 49 53 15 1,647.00 24,705.00
111 2024/03/13 2024031301028014 22 39 20 1,642.00 32,840.00
112 2024/03/13 2024031301027962 62 34 16 1,644.00 26,304.00
113 2024/03/13 2024031301027896 62 53 104 1,644.00 170,976.00
114 2024/03/13 2024031301027860 56 53 63 1,645.00 103,635.00
115 2024/03/13 2024031301027859 52 53 10 1,645.00 16,450.00
116 2024/03/13 2024031301027858 38 53 10 1,645.00 16,450.00
117 2024/03/13 2024031301028082 58 26 50 1,640.00 82,000.00
118 2024/03/13 2024031301028081 58 26 10 1,640.00 16,400.00
119 2024/03/13 2024031301028080 53 26 50 1,640.00 82,000.00
120 2024/03/13 2024031301028079 5 26 100 1,640.00 164,000.00
121 2024/03/13 2024031301028016 22 39 10 1,642.00 16,420.00
122 2024/03/13 2024031301028015 29 39 100 1,642.00 164,200.00
123 2024/03/13 2024031301028088 17 26 10 1,640.00 16,400.00
124 2024/03/13 2024031301028087 14 26 25 1,640.00 41,000.00
125 2024/03/13 2024031301028086 57 26 10 1,640.00 16,400.00
126 2024/03/13 2024031301028085 58 26 10 1,640.00 16,400.00
127 2024/03/13 2024031301028084 20 26 50 1,640.00 82,000.00
128 2024/03/13 2024031301028083 57 26 20 1,640.00 32,800.00
129 2024/03/13 2024031301028144 57 56 10 1,649.50 16,495.00
130 2024/03/13 2024031301028143 57 43 25 1,649.00 41,225.00
131 2024/03/13 2024031301028142 57 53 17 1,645.00 27,965.00
132 2024/03/13 2024031301028141 57 26 37 1,644.00 60,828.00
133 2024/03/13 2024031301028090 45 26 53 1,640.00 86,920.00
134 2024/03/13 2024031301028089 34 26 12 1,640.00 19,680.00
135 2024/03/13 2024031301028599 22 40 10 1,641.00 16,410.00
136 2024/03/13 2024031301028598 22 40 10 1,641.00 16,410.00
137 2024/03/13 2024031301028520 52 44 10 1,648.00 16,480.00
138 2024/03/13 2024031301028519 52 39 10 1,648.00 16,480.00
139 2024/03/13 2024031301028453 28 39 100 1,645.50 164,550.00
140 2024/03/13 2024031301028145 57 58 11 1,649.50 18,144.50
141 2024/03/13 2024031301029461 58 51 20 1,645.50 32,910.00
142 2024/03/13 2024031301029257 45 5 136 1,641.10 223,189.60
143 2024/03/13 2024031301028978 45 58 25 1,641.10 41,027.50
144 2024/03/13 2024031301028780 58 32 15 1,645.90 24,688.50
145 2024/03/13 2024031301028601 50 40 30 1,641.00 49,230.00
146 2024/03/13 2024031301028600 22 40 10 1,641.00 16,410.00
147 2024/03/13 2024031301029503 53 29 50 1,641.00 82,050.00
148 2024/03/13 2024031301029502 49 29 40 1,641.00 65,640.00
149 2024/03/13 2024031301029501 58 29 30 1,641.00 49,230.00
150 2024/03/13 2024031301029500 45 29 39 1,641.10 64,002.90
151 2024/03/13 2024031301029499 60 29 10 1,641.20 16,412.00
152 2024/03/13 2024031301029498 21 29 10 1,642.00 16,420.00
153 2024/03/13 2024031301029509 49 29 10 1,640.00 16,400.00
154 2024/03/13 2024031301029508 46 29 25 1,640.00 41,000.00
155 2024/03/13 2024031301029507 45 29 47 1,640.00 77,080.00
156 2024/03/13 2024031301029506 37 29 30 1,640.10 49,203.00
157 2024/03/13 2024031301029505 51 29 10 1,640.50 16,405.00
158 2024/03/13 2024031301029504 57 29 40 1,641.00 65,640.00
159 2024/03/13 2024031301029806 89 64 15 1,640.00 24,600.00
160 2024/03/13 2024031301029782 60 29 15 1,641.00 24,615.00
161 2024/03/13 2024031301029644 89 53 100 1,640.00 164,000.00
162 2024/03/13 2024031301029640 89 53 59 1,640.00 96,760.00
163 2024/03/13 2024031301029639 53 53 41 1,640.00 67,240.00
164 2024/03/13 2024031301029510 53 29 59 1,640.00 96,760.00
165 2024/03/13 2024031301029833 50 37 50 1,640.00 82,000.00
166 2024/03/13 2024031301029832 34 42 10 1,640.00 16,400.00
167 2024/03/13 2024031301029831 44 42 15 1,640.00 24,600.00
168 2024/03/13 2024031301029830 6 42 120 1,640.00 196,800.00
169 2024/03/13 2024031301029829 50 42 20 1,640.00 32,800.00
170 2024/03/13 2024031301029828 89 42 126 1,640.00 206,640.00
171 2024/03/13 2024031301029936 26 40 40 1,640.00 65,600.00
172 2024/03/13 2024031301029935 58 40 10 1,640.00 16,400.00
173 2024/03/13 2024031301029934 89 40 50 1,640.00 82,000.00
174 2024/03/13 2024031301029892 1 58 15 1,641.00 24,615.00
175 2024/03/13 2024031301029843 53 16 10 1,640.00 16,400.00
176 2024/03/13 2024031301029842 50 16 40 1,640.00 65,600.00
177 2024/03/13 2024031301030284 17 54 50 1,645.00 82,250.00
178 2024/03/13 2024031301030283 17 65 15 1,644.00 24,660.00
179 2024/03/13 2024031301030160 59 58 35 1,641.00 57,435.00
180 2024/03/13 2024031301030020 26 57 200 1,640.00 328,000.00
181 2024/03/13 2024031301030002 26 51 10 1,640.00 16,400.00
182 2024/03/13 2024031301029994 26 44 154 1,640.00 252,560.00
183 2024/03/13 2024031301030667 52 53 100 1,646.00 164,600.00
184 2024/03/13 2024031301030580 34 1 11 1,649.90 18,148.90
185 2024/03/13 2024031301030579 34 42 10 1,649.50 16,495.00
186 2024/03/13 2024031301030578 34 58 19 1,649.50 31,340.50
187 2024/03/13 2024031301030577 34 39 10 1,648.50 16,485.00
188 2024/03/13 2024031301030285 17 8 35 1,645.00 57,575.00
189 2024/03/13 2024031301030875 36 53 20 1,650.00 33,000.00
190 2024/03/13 2024031301030874 36 57 10 1,650.00 16,500.00
191 2024/03/13 2024031301030873 36 88 170 1,649.90 280,483.00
192 2024/03/13 2024031301030791 57 32 120 1,646.00 197,520.00
193 2024/03/13 2024031301030790 52 32 80 1,646.00 131,680.00
194 2024/03/13 2024031301030775 52 88 30 1,649.90 49,497.00
195 2024/03/13 2024031301030976 17 36 80 1,650.00 132,000.00
196 2024/03/13 2024031301030975 17 53 20 1,650.00 33,000.00
197 2024/03/13 2024031301030934 44 42 59 1,647.00 97,173.00
198 2024/03/13 2024031301030921 44 4 100 1,647.00 164,700.00
199 2024/03/13 2024031301030918 29 53 10 1,650.00 16,500.00
200 2024/03/13 2024031301030880 19 53 50 1,650.00 82,500.00
301 2024/03/13 2024031301024361 25 45 20 1,657.00 33,140.00
302 2024/03/13 2024031301024339 36 58 10 1,660.00 16,600.00
303 2024/03/13 2024031301024069 51 1 10 1,656.00 16,560.00
304 2024/03/13 2024031301023866 25 47 50 1,660.00 83,000.00
305 2024/03/13 2024031301023840 58 19 10 1,660.00 16,600.00
306 2024/03/13 2024031301023629 65 33 15 1,655.00 24,825.00
307 2024/03/13 2024031301019844 58 57 50 1,650.00 82,500.00
308 2024/03/13 2024031301019843 42 57 60 1,650.00 99,000.00
309 2024/03/13 2024031301019842 58 57 92 1,650.00 151,800.00
310 2024/03/13 2024031301019841 89 57 50 1,650.10 82,505.00
311 2024/03/13 2024031301019850 6 57 24 1,650.00 39,600.00
312 2024/03/13 2024031301019849 34 57 24 1,650.00 39,600.00
313 2024/03/13 2024031301019848 54 57 50 1,650.00 82,500.00
314 2024/03/13 2024031301019847 3 57 12 1,650.00 19,800.00
315 2024/03/13 2024031301019846 57 57 30 1,650.00 49,500.00
316 2024/03/13 2024031301019845 58 57 10 1,650.00 16,500.00
317 2024/03/13 2024031301019949 36 3 20 1,649.90 32,998.00
318 2024/03/13 2024031301019948 25 3 30 1,650.00 49,500.00
319 2024/03/13 2024031301019947 89 3 100 1,650.00 165,000.00
320 2024/03/13 2024031301019878 59 58 2 1,650.00 3,300.00
321 2024/03/13 2024031301019877 59 42 10 1,650.00 16,500.00
322 2024/03/13 2024031301019851 59 57 38 1,650.00 62,700.00
